Model,Channel_Config,N_Channels,Feature_Subset,N_Features,Class_Type,N_Samples,Time_sec,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,precision_cls0_mean,precision_cls0_std,recall_cls0_mean,recall_cls0_std,f1_cls0_mean,f1_cls0_std,support_cls0_mean,support_cls0_std,precision_cls10_mean,precision_cls10_std,recall_cls10_mean,recall_cls10_std,f1_cls10_mean,f1_cls10_std,support_cls10_mean,support_cls10_std,precision_cls40_mean,precision_cls40_std,recall_cls40_mean,recall_cls40_std,f1_cls40_mean,f1_cls40_std,support_cls40_mean,support_cls40_std,confusion_matrix_sum,roc_auc_macro_mean,roc_auc_macro_std
MLP,Cz,1,Martinez,3,3class,1184,0.7,0.5483152521561341,0.02178746621030181,0.6184409420882843,0.022860603975454412,0.95,0.11180339887498948,1.0,0.0,0.9714285714285715,0.063887656499994,32.2,6.099180272790763,0.43989881086655275,0.053987225321086046,0.33763408252785254,0.23667213541586496,0.3541192603171006,0.15147898176583777,99.6,14.621901381147392,0.4971611507451497,0.041675674274077826,0.6141207642931781,0.24161875614154188,0.5297749945191805,0.13515220436297634,105.0,16.911534525287763,"[[161   0   0]
 [ 11 173 314]
 [  1 208 316]]",0.7315207689682126,0.02152074757774509
RandomForest,Cz,1,Martinez,3,3class,1184,4.3,0.573967472487981,0.024095729902112124,0.6695865264281406,0.01762158430183199,1.0,0.0,1.0,0.0,1.0,0.0,32.2,6.099180272790763,0.4923870281765018,0.024932650470378674,0.49158567615267873,0.09275959512089585,0.48986342961669865,0.056100797905161405,99.6,14.621901381147392,0.5209068774278702,0.0300216238951838,0.5213980444842513,0.06411618164070788,0.5188961496677232,0.034829642779073036,105.0,16.911534525287763,"[[161   0   0]
 [  0 240 258]
 [  0 248 277]]",0.7423377683040646,0.014590197926269175
NaiveBayes,Cz,1,Martinez,3,3class,1184,0.1,0.5391510340320725,0.0599671555276786,0.634899392609178,0.05353069041320109,1.0,0.0,1.0,0.0,1.0,0.0,32.2,6.099180272790763,0.4499976498310181,0.08163407735246785,0.44493912085661574,0.15891819237889912,0.4389418452163348,0.10657243313546944,99.6,14.621901381147392,0.4629717210330272,0.09620335095747896,0.4855557545902373,0.19765639776398475,0.4657563326111994,0.1518907420263349,105.0,16.911534525287763,"[[161   0   0]
 [  0 215 283]
 [  0 258 267]]",0.7230609835166194,0.03166054928732746
BayesNet,Cz,1,Martinez,3,3class,1184,0.1,0.5391510340320725,0.0599671555276786,0.634899392609178,0.05353069041320109,1.0,0.0,1.0,0.0,1.0,0.0,32.2,6.099180272790763,0.4499976498310181,0.08163407735246785,0.44493912085661574,0.15891819237889912,0.4389418452163348,0.10657243313546944,99.6,14.621901381147392,0.4629717210330272,0.09620335095747896,0.4855557545902373,0.19765639776398475,0.4657563326111994,0.1518907420263349,105.0,16.911534525287763,"[[161   0   0]
 [  0 215 283]
 [  0 258 267]]",0.7230609835166194,0.03166054928732746
RandomTree,Cz,1,Martinez,3,3class,1184,0.1,0.5646230940574996,0.03195506536845349,0.6556021359937054,0.03585352300695668,1.0,0.0,1.0,0.0,1.0,0.0,32.2,6.099180272790763,0.4878305222994649,0.025283254384306262,0.5940653002201625,0.11796061417620232,0.5315994788811382,0.04417257702063952,99.6,14.621901381147392,0.4975279768208429,0.06136535253380173,0.4021592775041051,0.15242296404686198,0.43520692909997816,0.13370540301827757,105.0,16.911534525287763,"[[161   0   0]
 [  0 289 209]
 [  0 304 221]]",0.7194208150484185,0.013947701162540042
LDA,Cz,1,Martinez,3,3class,1184,0.1,0.574091602127355,0.05442817625437353,0.6484948382249109,0.0349828887803781,0.9737500000000001,0.04339138739427444,1.0,0.0,0.9862990810359232,0.022822466086605805,32.2,6.099180272790763,0.5118841727378313,0.061683542605350944,0.3299477997186669,0.12033154208245896,0.38646902281100126,0.07715354942008833,99.6,14.621901381147392,0.5068270650923303,0.06725472185098381,0.6729912673533363,0.2070411172403646,0.5727164108278082,0.12679434217033475,105.0,16.911534525287763,"[[161   0   0]
 [  4 159 335]
 [  1 157 367]]",0.7611757071886264,0.042011311149407635
LogisticRegression,Cz,1,Martinez,3,3class,1184,0.2,0.5756546726498992,0.041939038303169765,0.6491780252849843,0.02063966775863788,1.0,0.0,1.0,0.0,1.0,0.0,32.2,6.099180272790763,0.511914751914752,0.052031846284199816,0.29988777236636466,0.12281123726883507,0.36265233431605554,0.07618985779450589,99.6,14.621901381147392,0.5077631534322057,0.0459202009646244,0.7050898641588297,0.1949127944756818,0.584881741538897,0.10738045136133896,105.0,16.911534525287763,"[[161   0   0]
 [  0 143 355]
 [  0 142 383]]",0.7600952412345809,0.041491304793670976
SVM,Cz,1,Martinez,3,2class,1023,1.6,0.4948737566920422,0.038958409514808855,0.4818880665682045,0.038456714199629004,,,,,,,,,0.4887189663883027,0.03451221783077257,0.5098826533600801,0.15070101676088304,0.4866910384301689,0.07618869190784212,99.6,14.621901381147392,0.49884910650827824,0.040234941618038526,0.47842110762800416,0.19556877849191784,0.4770850947062401,0.11884285571689127,105.0,16.911534525287763,"[[256 242]
 [273 252]]",,
kNN,Cz,1,Martinez,3,2class,1023,0.4,0.5060942838873983,0.03825021773129363,0.5051922163756674,0.03829213007944063,,,,,,,,,0.49197006381414976,0.03171147673123719,0.49784645188346327,0.08050466080970843,0.49369910475202444,0.052886163035002876,99.6,14.621901381147392,0.520998440178775,0.04984686863398524,0.5148049708911777,0.034877407362291425,0.51668532799931,0.03043738419524172,105.0,16.911534525287763,"[[247 251]
 [255 270]]",,
MLP,Cz,1,Martinez,3,2class,1023,0.5,0.49821940657273867,0.03793397429336629,0.47188034941934065,0.04707398524412829,,,,,,,,,0.48119853141487534,0.04291951155788891,0.558147366212645,0.2595817246656225,0.49833325664536376,0.1255414909409307,99.6,14.621901381147392,0.5223335945896922,0.05177924986237287,0.44249552171965967,0.22885207616181302,0.44542744219331765,0.15189347569704403,105.0,16.911534525287763,"[[285 213]
 [300 225]]",,
