Model,Feature_Subset,Feature_Label,Channel_Config,Class_Type,Month,Accuracy,F1_Macro,Kappa,MAE,N,N_Features,Group
LogisticRegression,C_Todos7_Frontal-5,"Todos7 per-ch (Frontal-5, 5ch x 7m)",Frontal-5,3class,Mes 3,0.69,0.5935887308603399,0.49173441734417356,8.063636363636364,1100,35,C
MLP,C_Todos7_Frontal-5,"Todos7 per-ch (Frontal-5, 5ch x 7m)",Frontal-5,3class,Mes 3,0.5518181818181818,0.4956190412292652,0.3096995926680245,10.6,1100,35,C
DecisionTree,C_Todos7_Frontal-5,"Todos7 per-ch (Frontal-5, 5ch x 7m)",Frontal-5,3class,Mes 3,0.649090909090909,0.5400524666405366,0.4086350974930363,9.172727272727272,1100,35,C
SVM,C_Todos7_Frontal-5,"Todos7 per-ch (Frontal-5, 5ch x 7m)",Frontal-5,2class,Mes 3,0.812,0.8114501887503962,0.624,5.64,1000,35,C
kNN,C_Todos7_Frontal-5,"Todos7 per-ch (Frontal-5, 5ch x 7m)",Frontal-5,2class,Mes 3,0.788,0.7858585858585858,0.5760000000000001,6.36,1000,35,C
RandomForest,C_Todos7_Frontal-5,"Todos7 per-ch (Frontal-5, 5ch x 7m)",Frontal-5,2class,Mes 3,0.832,0.8319670655448468,0.6639999999999999,5.04,1000,35,C
NaiveBayes,C_Todos7_Frontal-5,"Todos7 per-ch (Frontal-5, 5ch x 7m)",Frontal-5,2class,Mes 3,0.735,0.7340102521482437,0.47,7.95,1000,35,C
LogisticRegression,C_Todos7_Frontal-5,"Todos7 per-ch (Frontal-5, 5ch x 7m)",Frontal-5,2class,Mes 3,0.819,0.8187242796293162,0.638,5.43,1000,35,C
MLP,C_Todos7_Frontal-5,"Todos7 per-ch (Frontal-5, 5ch x 7m)",Frontal-5,2class,Mes 3,0.707,0.7061746445766157,0.41400000000000003,8.79,1000,35,C
DecisionTree,C_Todos7_Frontal-5,"Todos7 per-ch (Frontal-5, 5ch x 7m)",Frontal-5,2class,Mes 3,0.756,0.756,0.512,7.32,1000,35,C
SVM,C_Todos7_Parietal-5,"Todos7 per-ch (Parietal-5, 5ch x 7m)",Parietal-5,3class,Mes 3,0.7036363636363636,0.6031474866697728,0.5106441048034935,7.336363636363636,1100,35,C
kNN,C_Todos7_Parietal-5,"Todos7 per-ch (Parietal-5, 5ch x 7m)",Parietal-5,3class,Mes 3,0.63,0.574651940455862,0.42807869187531933,9.236363636363636,1100,35,C
RandomForest,C_Todos7_Parietal-5,"Todos7 per-ch (Parietal-5, 5ch x 7m)",Parietal-5,3class,Mes 3,0.7536363636363637,0.6466164179869763,0.5801408450704226,6.454545454545454,1100,35,C
NaiveBayes,C_Todos7_Parietal-5,"Todos7 per-ch (Parietal-5, 5ch x 7m)",Parietal-5,3class,Mes 3,0.5609090909090909,0.5083278151471433,0.32370162932790214,11.418181818181818,1100,35,C
