Accuracy,F1,N,Model,Feature_Subset,Class_Type,Month
0.7772727272727272,0.777138457798128,1100,LogReg,Delta+Martinez,3class,Month3
0.7818181818181819,0.7779056502821607,1100,kNN,Delta+Martinez,3class,Month3
0.6781818181818182,0.6722487071751777,1100,NaiveBayes,Delta+Martinez,3class,Month3
0.8109090909090909,0.8106330220254984,1100,RandomForest,Delta+Martinez,2class,Month3
0.8154545454545454,0.8144484265509095,1100,SVM,Delta+Martinez,2class,Month3
0.7772727272727272,0.777138457798128,1100,LogReg,Delta+Martinez,2class,Month3
0.7818181818181819,0.7779056502821607,1100,kNN,Delta+Martinez,2class,Month3
0.6781818181818182,0.6722487071751777,1100,NaiveBayes,Delta+Martinez,2class,Month3
0.8154545454545454,0.815359173126615,1100,RandomForest,Martinez,3class,Month3
0.8254545454545454,0.8248616805317837,1100,SVM,Martinez,3class,Month3
0.7563636363636363,0.7562661428207647,1100,LogReg,Martinez,3class,Month3
0.7954545454545454,0.7928646690730632,1100,kNN,Martinez,3class,Month3
0.6654545454545454,0.6564588786030232,1100,NaiveBayes,Martinez,3class,Month3
0.8154545454545454,0.815359173126615,1100,RandomForest,Martinez,2class,Month3
0.8254545454545454,0.8248616805317837,1100,SVM,Martinez,2class,Month3
0.7563636363636363,0.7562661428207647,1100,LogReg,Martinez,2class,Month3
0.7954545454545454,0.7928646690730632,1100,kNN,Martinez,2class,Month3
0.6654545454545454,0.6564588786030232,1100,NaiveBayes,Martinez,2class,Month3
0.9318181818181818,0.9318018931794454,1100,RandomForest,Delta+Spectral,3class,Month3
0.9190909090909091,0.9190892373809376,1100,SVM,Delta+Spectral,3class,Month3
0.9318181818181818,0.9318167730738238,1100,LogReg,Delta+Spectral,3class,Month3
0.8754545454545455,0.8750446713227107,1100,kNN,Delta+Spectral,3class,Month3
0.77,0.7674583777234651,1100,NaiveBayes,Delta+Spectral,3class,Month3
0.9318181818181818,0.9318018931794454,1100,RandomForest,Delta+Spectral,2class,Month3
0.9190909090909091,0.9190892373809376,1100,SVM,Delta+Spectral,2class,Month3
0.9318181818181818,0.9318167730738238,1100,LogReg,Delta+Spectral,2class,Month3
0.8754545454545455,0.8750446713227107,1100,kNN,Delta+Spectral,2class,Month3
0.77,0.7674583777234651,1100,NaiveBayes,Delta+Spectral,2class,Month3
0.7497181510710259,0.7496643783371473,887,RandomForest,Delta,3class,Month6
0.7655016910935738,0.7651766622543529,887,SVM,Delta,3class,Month6
0.6888387824126269,0.6882964094728801,887,LogReg,Delta,3class,Month6
0.7361894024802705,0.7351711783439491,887,kNN,Delta,3class,Month6
0.6482525366403608,0.6465810525025286,887,NaiveBayes,Delta,3class,Month6
0.7497181510710259,0.7496643783371473,887,RandomForest,Delta,2class,Month6
0.7655016910935738,0.7651766622543529,887,SVM,Delta,2class,Month6
0.6888387824126269,0.6882964094728801,887,LogReg,Delta,2class,Month6
0.7361894024802705,0.7351711783439491,887,kNN,Delta,2class,Month6
0.6482525366403608,0.6465810525025286,887,NaiveBayes,Delta,2class,Month6
0.8331454340473506,0.8331435253444507,887,RandomForest,Delta+Martinez,3class,Month6
0.8387824126268321,0.8386216021934261,887,SVM,Delta+Martinez,3class,Month6
0.826381059751973,0.8263790736692256,887,LogReg,Delta+Martinez,3class,Month6
0.8049605411499436,0.8045630940600049,887,kNN,Delta+Martinez,3class,Month6
0.6583990980834273,0.6575564483144822,887,NaiveBayes,Delta+Martinez,3class,Month6
0.8331454340473506,0.8331435253444507,887,RandomForest,Delta+Martinez,2class,Month6
0.8387824126268321,0.8386216021934261,887,SVM,Delta+Martinez,2class,Month6
0.826381059751973,0.8263790736692256,887,LogReg,Delta+Martinez,2class,Month6
0.8049605411499436,0.8045630940600049,887,kNN,Delta+Martinez,2class,Month6
0.6583990980834273,0.6575564483144822,887,NaiveBayes,Delta+Martinez,2class,Month6
0.7812852311161218,0.7812849531246823,887,RandomForest,Martinez,3class,Month6
0.7779030439684329,0.7773551825675016,887,SVM,Martinez,3class,Month6
0.7609921082299888,0.7609237372607254,887,LogReg,Martinez,3class,Month6
0.7474633596392334,0.7473705625063574,887,kNN,Martinez,3class,Month6
0.6482525366403608,0.6461110372272407,887,NaiveBayes,Martinez,3class,Month6
0.7812852311161218,0.7812849531246823,887,RandomForest,Martinez,2class,Month6
0.7779030439684329,0.7773551825675016,887,SVM,Martinez,2class,Month6
0.7609921082299888,0.7609237372607254,887,LogReg,Martinez,2class,Month6
0.7474633596392334,0.7473705625063574,887,kNN,Martinez,2class,Month6
0.6482525366403608,0.6461110372272407,887,NaiveBayes,Martinez,2class,Month6
0.9289740698985344,0.9289726254618667,887,RandomForest,Delta+Spectral,3class,Month6
0.9052987598647125,0.905284193184245,887,SVM,Delta+Spectral,3class,Month6
0.9289740698985344,0.9289650412053863,887,LogReg,Delta+Spectral,3class,Month6
0.8229988726042841,0.8229259515922919,887,kNN,Delta+Spectral,3class,Month6
0.7722660653889515,0.7713217275883194,887,NaiveBayes,Delta+Spectral,3class,Month6
0.9289740698985344,0.9289726254618667,887,RandomForest,Delta+Spectral,2class,Month6
0.9052987598647125,0.905284193184245,887,SVM,Delta+Spectral,2class,Month6
0.9289740698985344,0.9289650412053863,887,LogReg,Delta+Spectral,2class,Month6
0.8229988726042841,0.8229259515922919,887,kNN,Delta+Spectral,2class,Month6
0.7722660653889515,0.7713217275883194,887,NaiveBayes,Delta+Spectral,2class,Month6
