Model,Feature_Subset,Feature_Label,Channel_Config,Class_Type,Month,Accuracy,F1_Macro,Kappa,MAE,N,N_Features,Group,Patient_Accuracy_Mean,Patient_Accuracy_Std,N_Patients
NaiveBayes,A1_RS,Rescaled Range,All-16,2class,Mixto,0.5552660960178638,0.5530312426354099,0.11167262718422044,13.342017119464087,2687,1,A,0.5610390662114313,0.06367312469145131,5
LogisticRegression,A1_RS,Rescaled Range,All-16,2class,Mixto,0.5258652772608857,0.5237040586553221,0.05070539083094516,14.224041682173427,2687,1,A,0.5279380927382761,0.05408621493961504,5
MLP,A1_RS,Rescaled Range,All-16,2class,Mixto,0.5485671752884258,0.5472669102389103,0.09802795635662431,13.542984741347228,2687,1,A,0.5542206612657562,0.05767375932968887,5
DecisionTree,A1_RS,Rescaled Range,All-16,2class,Mixto,0.5288425753628582,0.5288393777216368,0.057712166573224755,14.134722739114254,2687,1,A,0.5316897268650329,0.037207900764761416,5
SVM,A2_Higuchi,Higuchi,All-16,3class,Mixto,0.412200876306033,0.37591563587885973,0.09947173814752275,16.215032018874282,2967,1,A,0.415005147418299,0.05137762443044445,5
kNN,A2_Higuchi,Higuchi,All-16,3class,Mixto,0.3828783282777216,0.3503574671325338,0.055045247601597125,16.595888102460396,2967,1,A,0.38570932925833146,0.02723633138453905,5
RandomForest,A2_Higuchi,Higuchi,All-16,3class,Mixto,0.38928210313447925,0.3467544611462913,0.04531543083567402,16.862150320188743,2967,1,A,0.3909917364056764,0.025346486395173767,5
NaiveBayes,A2_Higuchi,Higuchi,All-16,3class,Mixto,0.4034378159757331,0.36642378753619725,0.09613536722195348,16.275699359622514,2967,1,A,0.40605735936694787,0.0378539120502951,5
LogisticRegression,A2_Higuchi,Higuchi,All-16,3class,Mixto,0.38119312436804853,0.36109120015278945,0.08522683382446683,16.65318503538928,2967,1,A,0.38145968137528796,0.036007103381865475,5
MLP,A2_Higuchi,Higuchi,All-16,3class,Mixto,0.3977081226828446,0.366674724038006,0.08138292868143471,16.356589147286822,2967,1,A,0.40302251857815374,0.055088991862886134,5
DecisionTree,A2_Higuchi,Higuchi,All-16,3class,Mixto,0.3731041456016178,0.34053638282442805,0.03725515611618846,17.10144927536232,2967,1,A,0.3774028400154189,0.03222919333664745,5
SVM,A2_Higuchi,Higuchi,All-16,2class,Mixto,0.5679196129512467,0.5651093155979671,0.13471182967430273,12.962411611462597,2687,1,A,0.5755451454624397,0.04906524803975574,5
kNN,A2_Higuchi,Higuchi,All-16,2class,Mixto,0.5366579828805359,0.5317172544053278,0.07501029282499538,13.900260513583923,2687,1,A,0.5445860957779999,0.05725249277312529,5
RandomForest,A2_Higuchi,Higuchi,All-16,2class,Mixto,0.5254931149981392,0.5253658441295572,0.05078968214057422,14.235206550055825,2687,1,A,0.5303087117164804,0.035469077697772675,5
NaiveBayes,A2_Higuchi,Higuchi,All-16,2class,Mixto,0.5545217714923707,0.5514600069588889,0.10784703963199249,13.364346855228879,2687,1,A,0.562046918227387,0.053442252981753785,5
LogisticRegression,A2_Higuchi,Higuchi,All-16,2class,Mixto,0.5541496092296241,0.5539889333618571,0.108074753759688,13.375511723111277,2687,1,A,0.5626691415380431,0.06144702217854293,5
MLP,A2_Higuchi,Higuchi,All-16,2class,Mixto,0.5325641979903237,0.5300380439928924,0.06402220029408845,14.023074060290286,2687,1,A,0.5383497832877367,0.03774204997001122,5
DecisionTree,A2_Higuchi,Higuchi,All-16,2class,Mixto,0.530703386676591,0.5290751014071569,0.06052988744293475,14.07889839970227,2687,1,A,0.5356417724093312,0.03289773227522025,5
SVM,A3_DFA,DFA,All-16,3class,Mixto,0.39298955173576,0.3553815260057971,0.08397292426941605,16.740815638692283,2967,1,A,0.39703094947256845,0.06877392273327658,5
kNN,A3_DFA,DFA,All-16,3class,Mixto,0.3710819009100101,0.3415422625156008,0.04782017143090056,17.10144927536232,2967,1,A,0.3692657579799183,0.034980588402607794,5
RandomForest,A3_DFA,DFA,All-16,3class,Mixto,0.36872261543646784,0.3288280600365307,0.017744853633635982,17.566565554432085,2967,1,A,0.3661793671963848,0.022392526202774595,5
NaiveBayes,A3_DFA,DFA,All-16,3class,Mixto,0.34041118975396023,0.3217483427526117,0.06783372226981366,17.654196157735086,2967,1,A,0.34137041107262533,0.01971024141448364,5
LogisticRegression,A3_DFA,DFA,All-16,3class,Mixto,0.36737445230872934,0.341738729455972,0.07589019919673501,17.175598247387935,2967,1,A,0.36994468794056656,0.02243159432745236,5
MLP,A3_DFA,DFA,All-16,3class,Mixto,0.32659251769464104,0.3176981607505767,0.053723575429267645,17.98112571621166,2967,1,A,0.33852596870146445,0.08125557620936517,5
DecisionTree,A3_DFA,DFA,All-16,3class,Mixto,0.36636332996292553,0.3338369446753267,0.03616697896140286,17.280080889787666,2967,1,A,0.36426026556101887,0.029550460989291417,5
SVM,A3_DFA,DFA,All-16,2class,Mixto,0.5489393375511723,0.5453422995992656,0.09656919532883257,13.53181987346483,2687,1,A,0.555368267293441,0.06579892027528647,5
kNN,A3_DFA,DFA,All-16,2class,Mixto,0.5396352809825083,0.535744001671636,0.08077862622019871,13.810941570524749,2687,1,A,0.5434594303665742,0.055732703112008716,5
RandomForest,A3_DFA,DFA,All-16,2class,Mixto,0.5187941942687011,0.5187771314455298,0.03775698170146535,14.436174171938966,2687,1,A,0.521198752264423,0.02601626666716625,5
NaiveBayes,A3_DFA,DFA,All-16,2class,Mixto,0.5422404168217343,0.5418032241428072,0.08406358602570718,13.732787495347972,2687,1,A,0.5473116834363099,0.04748845769336437,5
LogisticRegression,A3_DFA,DFA,All-16,2class,Mixto,0.5422404168217343,0.5417818794067832,0.08405190929563944,13.732787495347972,2687,1,A,0.5472220539881949,0.04928219606275373,5
MLP,A3_DFA,DFA,All-16,2class,Mixto,0.5347971715668032,0.5347826737346919,0.06975140378563749,13.956084852995906,2687,1,A,0.5390630161761599,0.048876233933841204,5
DecisionTree,A3_DFA,DFA,All-16,2class,Mixto,0.5411239300334946,0.5409245301921217,0.08198758590076205,13.766282098995163,2687,1,A,0.5425532282947001,0.025776496833479764,5
SVM,A4_Semivariograma,Semivariograma,All-16,3class,Mixto,0.40815638692281764,0.3753559998389804,0.11996928537658602,16.194809571958206,2967,1,A,0.4104364726936323,0.05485435210724078,5
kNN,A4_Semivariograma,Semivariograma,All-16,3class,Mixto,0.3855746545331985,0.3531160407899316,0.06953491376559395,16.889113582743512,2967,1,A,0.38366263212193125,0.014441112361227882,5
RandomForest,A4_Semivariograma,Semivariograma,All-16,3class,Mixto,0.382541287495787,0.3456533240174943,0.03997999260673124,17.138523761375126,2967,1,A,0.3817644443576498,0.009320332273114126,5
NaiveBayes,A4_Semivariograma,Semivariograma,All-16,3class,Mixto,0.38658577687900236,0.3557375336112232,0.08587596654878282,16.636332996292552,2967,1,A,0.38978926058491903,0.024600504832538877,5
LogisticRegression,A4_Semivariograma,Semivariograma,All-16,3class,Mixto,0.38422649140546006,0.34960039836757045,0.07793900394716369,16.747556454330972,2967,1,A,0.3884648244694454,0.03383130288543199,5
MLP,A4_Semivariograma,Semivariograma,All-16,3class,Mixto,0.3488372093023256,0.3374252817587992,0.08138926107706534,17.27671048196832,2967,1,A,0.3568311665820572,0.05550308186193922,5
DecisionTree,A4_Semivariograma,Semivariograma,All-16,3class,Mixto,0.3774856757667678,0.3462597760768866,0.05171285429802108,17.202561509942704,2967,1,A,0.3773171700414554,0.010980754962318947,5
SVM,A4_Semivariograma,Semivariograma,All-16,2class,Mixto,0.5682917752139933,0.5617211456906114,0.1348334379775955,12.951246743580201,2687,1,A,0.5739076679086004,0.04630768380052007,5
kNN,A4_Semivariograma,Semivariograma,All-16,2class,Mixto,0.5403796055080015,0.5364946176754006,0.08226483701046527,13.788611834759955,2687,1,A,0.5382548722687767,0.027786283237568026,5
RandomForest,A4_Semivariograma,Semivariograma,All-16,2class,Mixto,0.5225158168961668,0.5224300920681682,0.04488254487354071,14.324525493114999,2687,1,A,0.521059335465435,0.018350779727933846,5
NaiveBayes,A4_Semivariograma,Semivariograma,All-16,2class,Mixto,0.5541496092296241,0.5521621808120505,0.10734659740686137,13.375511723111277,2687,1,A,0.5593961673732782,0.041891118586937254,5
LogisticRegression,A4_Semivariograma,Semivariograma,All-16,2class,Mixto,0.5474506885001861,0.5464374555792466,0.09423484640154711,13.576479344994418,2687,1,A,0.5532673967379853,0.051211861255951736,5
MLP,A4_Semivariograma,Semivariograma,All-16,2class,Mixto,0.5403796055080015,0.5402876626457621,0.08104902546936221,13.788611834759955,2687,1,A,0.5454456989710854,0.042945668067719586,5
DecisionTree,A4_Semivariograma,Semivariograma,All-16,2class,Mixto,0.5277260885746186,0.5274053512170154,0.05509999753369632,14.168217342761444,2687,1,A,0.5267453058027896,0.03790341884401173,5
SVM,A5_Promedio,Promedio,All-16,3class,Mixto,0.3454668014829794,0.3266957493356167,0.05536059712856156,17.4654533198517,2967,1,A,0.3468929822362151,0.11387635777746109,5
kNN,A5_Promedio,Promedio,All-16,3class,Mixto,0.378159757330637,0.34114545776237165,0.05605540496941741,16.595888102460396,2967,1,A,0.37693847502365196,0.023836783102157297,5
RandomForest,A5_Promedio,Promedio,All-16,3class,Mixto,0.36703741152679475,0.3245927454353634,0.013930380482708116,17.347489046174587,2967,1,A,0.36658655595953693,0.01613657636016599,5
NaiveBayes,A5_Promedio,Promedio,All-16,3class,Mixto,0.3201887428378834,0.30940205719053426,0.05308041168992805,18.2103134479272,2967,1,A,0.3163262858182675,0.0514663389350941,5
LogisticRegression,A5_Promedio,Promedio,All-16,3class,Mixto,0.35962251432423326,0.3372660525422626,0.05798805177330957,17.49241658240647,2967,1,A,0.36021267676176877,0.04352211688869814,5
MLP,A5_Promedio,Promedio,All-16,3class,Mixto,0.2989551735760027,0.2948790818639066,0.05803960032437805,18.345129760701045,2967,1,A,0.2939362992636944,0.13676664489623808,5
DecisionTree,A5_Promedio,Promedio,All-16,3class,Mixto,0.3683855746545332,0.3330848538805305,0.03756521998020146,16.956521739130434,2967,1,A,0.3677617951204145,0.02703305848222663,5
SVM,A5_Promedio,Promedio,All-16,2class,Mixto,0.5601042054335691,0.556416363033007,0.11889761289280898,13.196873836992928,2687,1,A,0.5614491586836995,0.05686820586595307,5
kNN,A5_Promedio,Promedio,All-16,2class,Mixto,0.5556382582806103,0.5519129758556771,0.11272651445676907,13.330852251581689,2687,1,A,0.5539207342476427,0.06566710550381391,5
RandomForest,A5_Promedio,Promedio,All-16,2class,Mixto,0.5262374395236323,0.5262111907234351,0.05242356270685067,14.21287681429103,2687,1,A,0.5269406194659532,0.02434701388595867,5
NaiveBayes,A5_Promedio,Promedio,All-16,2class,Mixto,0.5548939337551172,0.55248845590406,0.1087345155666638,13.353181987346483,2687,1,A,0.5567215883580791,0.058420118202912305,5
LogisticRegression,A5_Promedio,Promedio,All-16,2class,Mixto,0.5336806847785635,0.530923647442652,0.06620420794722304,13.989579456643096,2687,1,A,0.5371688691252265,0.0643241510562224,5
MLP,A5_Promedio,Promedio,All-16,2class,Mixto,0.5478228507629327,0.5446584022718648,0.09700058167821501,13.56531447711202,2687,1,A,0.549436215742112,0.0491778372965858,5
DecisionTree,A5_Promedio,Promedio,All-16,2class,Mixto,0.5318198734648306,0.5317108433467881,0.06395284437936288,14.04540379605508,2687,1,A,0.5302290579659605,0.046176013740150526,5
SVM,A6_HO,Hurst Original,All-16,3class,Mixto,0.35726322885069095,0.33775733605340214,0.0822629775969792,17.165487023929895,2967,1,A,0.3579854636754777,0.1011496743473493,5
kNN,A6_HO,Hurst Original,All-16,3class,Mixto,0.3788338388945062,0.34711763563598813,0.06814770835488348,16.875631951466126,2967,1,A,0.3789716661489274,0.019125414468407327,5
RandomForest,A6_HO,Hurst Original,All-16,3class,Mixto,0.3754634310751601,0.34025892294797905,0.02975064904169855,17.37108190091001,2967,1,A,0.37669287949870484,0.012696169213180612,5
NaiveBayes,A6_HO,Hurst Original,All-16,3class,Mixto,0.29221435793731043,0.28390546566084024,0.059450823257907515,18.466464442197505,2967,1,A,0.28908317556400787,0.023440970707000432,5
LogisticRegression,A6_HO,Hurst Original,All-16,3class,Mixto,0.32895180316818334,0.31836899306566807,0.05731724092368384,18.257499157398044,2967,1,A,0.32683506054775596,0.020400035938981077,5
MLP,A6_HO,Hurst Original,All-16,3class,Mixto,0.3522076171216717,0.34053723963745597,0.08397609453597421,17.084597236265587,2967,1,A,0.3596314826047605,0.10087116129620438,5
DecisionTree,A6_HO,Hurst Original,All-16,3class,Mixto,0.3899561846983485,0.3570340545051935,0.074844424047254,16.710481968318167,2967,1,A,0.39229240172487345,0.03825789375627524,5
SVM,A6_HO,Hurst Original,All-16,2class,Mixto,0.5679196129512467,0.5677318568962313,0.1355941502277248,12.962411611462597,2687,1,A,0.571644688297734,0.06042674807734407,5
kNN,A6_HO,Hurst Original,All-16,2class,Mixto,0.5690360997394864,0.5664128864393403,0.13928138319295746,12.928917007815407,2687,1,A,0.5681250660682557,0.04976286675898519,5
RandomForest,A6_HO,Hurst Original,All-16,2class,Mixto,0.5236323036844064,0.5234326329814947,0.0470004854551862,14.291030889467807,2687,1,A,0.5259305845995791,0.029702803404063033,5
NaiveBayes,A6_HO,Hurst Original,All-16,2class,Mixto,0.5537774469668776,0.5532306781749831,0.10815436006589507,13.386676590993673,2687,1,A,0.5584397135954994,0.06148878130639158,5
LogisticRegression,A6_HO,Hurst Original,All-16,2class,Mixto,0.524004465947153,0.5209659705724967,0.04677911323993633,14.279866021585411,2687,1,A,0.5253096071465562,0.05245733157035308,5
MLP,A6_HO,Hurst Original,All-16,2class,Mixto,0.550055824339412,0.5479820421895839,0.10121969270439235,13.49832526981764,2687,1,A,0.5531220303620801,0.04981838803495009,5
DecisionTree,A6_HO,Hurst Original,All-16,2class,Mixto,0.5429847413472274,0.5429512538368627,0.08590250767372543,13.710457759583178,2687,1,A,0.5444076657960141,0.03467116454456668,5
SVM,A7_HRS_p64,HRS p64,All-16,3class,Mixto,0.36872261543646784,0.3462684510938027,0.102741525299898,16.75092686215032,2967,1,A,0.3710966828501632,0.07296305632767827,5
kNN,A7_HRS_p64,HRS p64,All-16,3class,Mixto,0.3636670037074486,0.3344204497373102,0.04593326143664833,17.114930906639703,2967,1,A,0.3660948602419519,0.045848193541861794,5
RandomForest,A7_HRS_p64,HRS p64,All-16,3class,Mixto,0.37445230872935625,0.33474782513521756,0.026552261224541684,17.391304347826086,2967,1,A,0.3748485707629773,0.01767303999465506,5
NaiveBayes,A7_HRS_p64,HRS p64,All-16,3class,Mixto,0.29322548028311424,0.28980632853642724,0.06641371092731896,18.530502190765084,2967,1,A,0.2913355194606967,0.013487936331016847,5
LogisticRegression,A7_HRS_p64,HRS p64,All-16,3class,Mixto,0.3178294573643411,0.31167448335190234,0.054100580042292346,18.479946073474892,2967,1,A,0.31402419820458566,0.02467303547170319,5
MLP,A7_HRS_p64,HRS p64,All-16,3class,Mixto,0.31412200876306035,0.3108657804986764,0.07104603240467866,18.04516346477924,2967,1,A,0.3201194973487643,0.0749069058732028,5
DecisionTree,A7_HRS_p64,HRS p64,All-16,3class,Mixto,0.3714189416919447,0.3387224811750497,0.04149485406646958,17.232895180316817,2967,1,A,0.3711702419309729,0.03482262330400611,5
SVM,A7_HRS_p64,HRS p64,All-16,2class,Mixto,0.5764793449944176,0.5757289932289932,0.1524105719789891,12.705619650167472,2687,1,A,0.5816849012726533,0.05693761970526228,5
kNN,A7_HRS_p64,HRS p64,All-16,2class,Mixto,0.5292147376256048,0.5266963844728292,0.05967261423105341,14.123557871231856,2687,1,A,0.5359638883027119,0.071312583608792,5
RandomForest,A7_HRS_p64,HRS p64,All-16,2class,Mixto,0.5217714923706737,0.5214827901662686,0.04321075746571301,14.346855228879791,2687,1,A,0.5283778291127258,0.04688373826611026,5
NaiveBayes,A7_HRS_p64,HRS p64,All-16,2class,Mixto,0.5377744696687756,0.5353774057738572,0.0744786885609614,13.866765909936733,2687,1,A,0.5396890628732918,0.06776855424201135,5
LogisticRegression,A7_HRS_p64,HRS p64,All-16,2class,Mixto,0.5351693338295497,0.5344448185277496,0.06977859982133205,13.94491998511351,2687,1,A,0.5361625484533071,0.049034209644248615,5
MLP,A7_HRS_p64,HRS p64,All-16,2class,Mixto,0.5478228507629327,0.5478205961191052,0.09567739052898916,13.56531447711202,2687,1,A,0.5537040099275574,0.06541748667920415,5
DecisionTree,A7_HRS_p64,HRS p64,All-16,2class,Mixto,0.5422404168217343,0.5419022986593927,0.0841219652105959,13.732787495347972,2687,1,A,0.5466547789955346,0.04354260535905407,5
SVM,A8_HV,Hurst Semivariograma,All-16,3class,Mixto,0.40815638692281764,0.3753559998389804,0.11996928537658602,16.194809571958206,2967,1,A,0.4104364726936323,0.05485435210724078,5
kNN,A8_HV,Hurst Semivariograma,All-16,3class,Mixto,0.3855746545331985,0.3531160407899316,0.06953491376559395,16.889113582743512,2967,1,A,0.38366263212193125,0.014441112361227882,5
RandomForest,A8_HV,Hurst Semivariograma,All-16,3class,Mixto,0.382541287495787,0.3456533240174943,0.03997999260673124,17.138523761375126,2967,1,A,0.3817644443576498,0.009320332273114126,5
NaiveBayes,A8_HV,Hurst Semivariograma,All-16,3class,Mixto,0.38658577687900236,0.3557375336112232,0.08587596654878282,16.636332996292552,2967,1,A,0.38978926058491903,0.024600504832538877,5
LogisticRegression,A8_HV,Hurst Semivariograma,All-16,3class,Mixto,0.38422649140546006,0.34960039836757045,0.07793900394716369,16.747556454330972,2967,1,A,0.3884648244694454,0.03383130288543199,5
MLP,A8_HV,Hurst Semivariograma,All-16,3class,Mixto,0.3488372093023256,0.3374252817587992,0.08138926107706534,17.27671048196832,2967,1,A,0.3568311665820572,0.05550308186193922,5
DecisionTree,A8_HV,Hurst Semivariograma,All-16,3class,Mixto,0.3774856757667678,0.3462597760768866,0.05171285429802108,17.202561509942704,2967,1,A,0.3773171700414554,0.010980754962318947,5
SVM,A8_HV,Hurst Semivariograma,All-16,2class,Mixto,0.5682917752139933,0.5617211456906114,0.1348334379775955,12.951246743580201,2687,1,A,0.5739076679086004,0.04630768380052007,5
kNN,A8_HV,Hurst Semivariograma,All-16,2class,Mixto,0.5403796055080015,0.5364946176754006,0.08226483701046527,13.788611834759955,2687,1,A,0.5382548722687767,0.027786283237568026,5
RandomForest,A8_HV,Hurst Semivariograma,All-16,2class,Mixto,0.5225158168961668,0.5224300920681682,0.04488254487354071,14.324525493114999,2687,1,A,0.521059335465435,0.018350779727933846,5
NaiveBayes,A8_HV,Hurst Semivariograma,All-16,2class,Mixto,0.5541496092296241,0.5521621808120505,0.10734659740686137,13.375511723111277,2687,1,A,0.5593961673732782,0.041891118586937254,5
LogisticRegression,A8_HV,Hurst Semivariograma,All-16,2class,Mixto,0.5474506885001861,0.5464374555792466,0.09423484640154711,13.576479344994418,2687,1,A,0.5532673967379853,0.051211861255951736,5
MLP,A8_HV,Hurst Semivariograma,All-16,2class,Mixto,0.5403796055080015,0.5402876626457621,0.08104902546936221,13.788611834759955,2687,1,A,0.5454456989710854,0.042945668067719586,5
DecisionTree,A8_HV,Hurst Semivariograma,All-16,2class,Mixto,0.5277260885746186,0.5274053512170154,0.05509999753369632,14.168217342761444,2687,1,A,0.5267453058027896,0.03790341884401173,5
SVM,A9_All7_mean,Todos los Fractales (mean),All-16,3class,Mixto,0.4603977081226828,0.4212164662795388,0.18520189987083757,14.472531176272328,2967,7,A,0.4617076010870359,0.03238539632143881,5
kNN,A9_All7_mean,Todos los Fractales (mean),All-16,3class,Mixto,0.43242332322210986,0.39763608457958727,0.15119669993975982,14.971351533535557,2967,7,A,0.437037299786421,0.06078210671381279,5
RandomForest,A9_All7_mean,Todos los Fractales (mean),All-16,3class,Mixto,0.5149983147960904,0.4326946586917195,0.19644146707000998,13.164812942366027,2967,7,A,0.5183881576527657,0.03726543935877316,5
NaiveBayes,A9_All7_mean,Todos los Fractales (mean),All-16,3class,Mixto,0.3444556791371756,0.32669113319917475,0.09266839669476068,17.253117627232896,2967,7,A,0.3452041804502463,0.011662287057839428,5
LogisticRegression,A9_All7_mean,Todos los Fractales (mean),All-16,3class,Mixto,0.42905291540276375,0.39875926767397046,0.14757718889124438,15.089315807212673,2967,7,A,0.43351761000810074,0.03475217281812894,5
MLP,A9_All7_mean,Todos los Fractales (mean),All-16,3class,Mixto,0.4418604651162791,0.3997630926106957,0.13857877258110152,15.251095382541287,2967,7,A,0.44516475278803264,0.0530942735880611,5
DecisionTree,A9_All7_mean,Todos los Fractales (mean),All-16,3class,Mixto,0.450623525446579,0.3877882415817824,0.11965236151737235,14.856757667677789,2967,7,A,0.456702026838558,0.052353701965817595,5
SVM,A9_All7_mean,Todos los Fractales (mean),All-16,2class,Mixto,0.6393747673985858,0.6377852297175195,0.2779836141264034,10.818756978042426,2687,7,A,0.6467241716404664,0.05076203860389784,5
kNN,A9_All7_mean,Todos los Fractales (mean),All-16,2class,Mixto,0.6334201711946409,0.6309912449659775,0.26791079929731254,10.997394864160775,2687,7,A,0.6391431594648154,0.05766033413502158,5
RandomForest,A9_All7_mean,Todos los Fractales (mean),All-16,2class,Mixto,0.643468552288798,0.6434602066539239,0.2870483926539683,10.695943431336062,2687,7,A,0.6504929642939254,0.05841359022280159,5
NaiveBayes,A9_All7_mean,Todos los Fractales (mean),All-16,2class,Mixto,0.582061778935616,0.5819496807509746,0.1639504416030313,12.538146631931522,2687,7,A,0.5903602323065462,0.06192547649094842,5
LogisticRegression,A9_All7_mean,Todos los Fractales (mean),All-16,2class,Mixto,0.6032750279121697,0.6032406822558947,0.20673452929303682,11.901749162634909,2687,7,A,0.6116740506015852,0.05423562897288132,5
MLP,A9_All7_mean,Todos los Fractales (mean),All-16,2class,Mixto,0.5686639374767398,0.5670511059737611,0.13648887820440836,12.940081875697805,2687,7,A,0.579109654239744,0.06638840437641468,5
DecisionTree,A9_All7_mean,Todos los Fractales (mean),All-16,2class,Mixto,0.586155563825828,0.5861527551551817,0.17233485721123698,12.415333085225159,2687,7,A,0.5909087128305159,0.035277470815937184,5
SVM,B1_HRS_pc,HRS p64 (per-channel),All-16,3class,Mixto,0.559824738793394,0.5177611882832975,0.3485521015147933,11.698685540950455,2967,16,B,0.5647565768762951,0.03735104149799634,5
kNN,B1_HRS_pc,HRS p64 (per-channel),All-16,3class,Mixto,0.49207954162453654,0.45289175702463136,0.2505970895216948,13.60633636670037,2967,16,B,0.4909187559304751,0.041121255576624174,5
RandomForest,B1_HRS_pc,HRS p64 (per-channel),All-16,3class,Mixto,0.6535220761712167,0.5309617439939925,0.41242680561559564,9.629255139871924,2967,16,B,0.6571851556535261,0.037298706326874514,5
NaiveBayes,B1_HRS_pc,HRS p64 (per-channel),All-16,3class,Mixto,0.33872598584428715,0.33379036452951555,0.10613894978903593,17.273340074148972,2967,16,B,0.33824341002309444,0.019564594231772356,5
LogisticRegression,B1_HRS_pc,HRS p64 (per-channel),All-16,3class,Mixto,0.524098415908325,0.48075045339910677,0.2839487350582084,12.915402763734411,2967,16,B,0.5270493599259537,0.04349131479937359,5
MLP,B1_HRS_pc,HRS p64 (per-channel),All-16,3class,Mixto,0.4937647455342096,0.4638418411516441,0.26615689078428273,13.12773845635322,2967,16,B,0.49852730325624417,0.042745179802978955,5
DecisionTree,B1_HRS_pc,HRS p64 (per-channel),All-16,3class,Mixto,0.5271317829457365,0.4483223906037326,0.23326103157467415,13.02999662959218,2967,16,B,0.5285244865013734,0.021768968216085937,5
SVM,B1_HRS_pc,HRS p64 (per-channel),All-16,2class,Mixto,0.7651656122069223,0.7651082228892085,0.530491261251407,7.045031633792333,2687,16,B,0.7720839830325102,0.047344341017950216,5
kNN,B1_HRS_pc,HRS p64 (per-channel),All-16,2class,Mixto,0.7231112765165613,0.7228206976873163,0.44656986642674235,8.306661704503163,2687,16,B,0.7286701210804505,0.039773908173052985,5
RandomForest,B1_HRS_pc,HRS p64 (per-channel),All-16,2class,Mixto,0.7752139933010793,0.7752087315438101,0.5504981515271365,6.743580200967622,2687,16,B,0.7816750622024558,0.05100261508152744,5
NaiveBayes,B1_HRS_pc,HRS p64 (per-channel),All-16,2class,Mixto,0.6010420543356904,0.5966938705103016,0.20355819420427534,11.968738369929289,2687,16,B,0.6064599935258821,0.05340006299261729,5
LogisticRegression,B1_HRS_pc,HRS p64 (per-channel),All-16,2class,Mixto,0.7059918124302196,0.7059164990329891,0.4118655901763797,8.820245627093414,2687,16,B,0.7130670951304816,0.054367415265365544,5
MLP,B1_HRS_pc,HRS p64 (per-channel),All-16,2class,Mixto,0.7041310011164867,0.704130345446847,0.4082902765724593,8.876069966505396,2687,16,B,0.7127005382401734,0.06321577494604322,5
DecisionTree,B1_HRS_pc,HRS p64 (per-channel),All-16,2class,Mixto,0.702270189802754,0.7022609111902028,0.4045271009976996,8.93189430591738,2687,16,B,0.7083077401397601,0.040910886564319564,5
SVM,B2_HO_pc,HO (per-channel),All-16,3class,Mixto,0.555443208628244,0.5054139704971493,0.3348841762525754,12.022244691607684,2967,16,B,0.5608422011394374,0.05528637894449511,5
kNN,B2_HO_pc,HO (per-channel),All-16,3class,Mixto,0.5139871924502865,0.463438176199426,0.27131131514388074,12.962588473205258,2967,16,B,0.5156277673670455,0.04232027498764085,5
RandomForest,B2_HO_pc,HO (per-channel),All-16,3class,Mixto,0.6562184024266936,0.5338599370446165,0.4161989484659583,9.733737782271655,2967,16,B,0.6602043366077022,0.03609890803211796,5
NaiveBayes,B2_HO_pc,HO (per-channel),All-16,3class,Mixto,0.35254465790360634,0.3416300718396754,0.09598523150400995,17.246376811594203,2967,16,B,0.3534010667780201,0.03114990402120321,5
