Model,Channel_Config,Feature_Subset,Class_Type,Accuracy,F1,N
RandomForest,Motor-2,Martinez,3class,0.6342905405405406,0.7174335101929508,1184
LogReg,Motor-2,Martinez,3class,0.6157094594594594,0.6976611634262665,1184
kNN,Motor-2,Martinez,3class,0.6579391891891891,0.7359694645689011,1184
NaiveBayes,Motor-2,Martinez,3class,0.6461148648648649,0.7267421790206982,1184
SVM,Motor-2,Martinez,2class,0.6383186705767351,0.6362579281183933,1023
RandomForest,Motor-2,Martinez,2class,0.5659824046920822,0.5658326387348878,1023
LogReg,Motor-2,Martinez,2class,0.552297165200391,0.5477121785466059,1023
kNN,Motor-2,Martinez,2class,0.6168132942326491,0.6167514048702167,1023
NaiveBayes,Motor-2,Martinez,2class,0.5874877810361682,0.5874211552429374,1023
SVM,Motor-4,Delta,3class,0.660472972972973,0.7346724681216757,1184
RandomForest,Motor-4,Delta,3class,0.6959459459459459,0.7651209600269394,1184
LogReg,Motor-4,Delta,3class,0.6663851351351351,0.7417570566497149,1184
kNN,Motor-4,Delta,3class,0.660472972972973,0.737644113729273,1184
NaiveBayes,Motor-4,Delta,3class,0.6444256756756757,0.7249865664651077,1184
SVM,Motor-4,Delta,2class,0.6344086021505376,0.6303648027205626,1023
RandomForest,Motor-4,Delta,2class,0.6412512218963832,0.6410193401940809,1023
LogReg,Motor-4,Delta,2class,0.6236559139784946,0.6222684703433923,1023
kNN,Motor-4,Delta,2class,0.613880742913001,0.6125479299166099,1023
NaiveBayes,Motor-4,Delta,2class,0.5786901270772239,0.5780450154986607,1023
SVM,Motor-4,Delta+Martinez,3class,0.6807432432432432,0.7505129177860533,1184
RandomForest,Motor-4,Delta+Martinez,3class,0.7111486486486487,0.7766135952680132,1184
LogReg,Motor-4,Delta+Martinez,3class,0.6959459459459459,0.7643237265878775,1184
kNN,Motor-4,Delta+Martinez,3class,0.6739864864864865,0.7480861390534809,1184
NaiveBayes,Motor-4,Delta+Martinez,3class,0.6469594594594594,0.7275983060176126,1184
SVM,Motor-4,Delta+Martinez,2class,0.678396871945259,0.6747720717194996,1023
RandomForest,Motor-4,Delta+Martinez,2class,0.6617790811339198,0.661336063377856,1023
LogReg,Motor-4,Delta+Martinez,2class,0.6559139784946236,0.6543414656622204,1023
kNN,Motor-4,Delta+Martinez,2class,0.6256109481915934,0.6252442599509328,1023
NaiveBayes,Motor-4,Delta+Martinez,2class,0.5972629521016618,0.597259488590758,1023
SVM,Motor-4,Martinez,3class,0.643581081081081,0.7240740598706866,1184
RandomForest,Motor-4,Martinez,3class,0.6106418918918919,0.6992039095589213,1184
LogReg,Motor-4,Martinez,3class,0.6131756756756757,0.6962415783659307,1184
kNN,Motor-4,Martinez,3class,0.6579391891891891,0.7358997870637651,1184
NaiveBayes,Motor-4,Martinez,3class,0.643581081081081,0.7249158892797064,1184
SVM,Motor-4,Martinez,2class,0.6314760508308895,0.6284712421669163,1023
RandomForest,Motor-4,Martinez,2class,0.5562072336265884,0.5550128386923696,1023
LogReg,Motor-4,Martinez,2class,0.533724340175953,0.5294056947223763,1023
kNN,Motor-4,Martinez,2class,0.6021505376344086,0.6018522680003251,1023
NaiveBayes,Motor-4,Martinez,2class,0.581622678396872,0.5815327094228828,1023
SVM,Motor-6,Delta,3class,0.6613175675675675,0.7359480860045204,1184
RandomForest,Motor-6,Delta,3class,0.6959459459459459,0.765054430205319,1184
LogReg,Motor-6,Delta,3class,0.6528716216216216,0.7311728853872453,1184
kNN,Motor-6,Delta,3class,0.6638513513513513,0.7398802496205094,1184
NaiveBayes,Motor-6,Delta,3class,0.643581081081081,0.7244101424850621,1184
SVM,Motor-6,Delta,2class,0.6197458455522972,0.6165079652652568,1023
RandomForest,Motor-6,Delta,2class,0.6285434995112414,0.6283215285532897,1023
LogReg,Motor-6,Delta,2class,0.5913978494623656,0.5899398547000023,1023
kNN,Motor-6,Delta,2class,0.6089931573802542,0.6067653276955602,1023
NaiveBayes,Motor-6,Delta,2class,0.5835777126099707,0.5829077530894446,1023
SVM,Motor-6,Delta+Martinez,3class,0.6714527027027027,0.7430789120718959,1184
RandomForest,Motor-6,Delta+Martinez,3class,0.7069256756756757,0.7732819198620459,1184
LogReg,Motor-6,Delta+Martinez,3class,0.6773648648648649,0.7495655049370943,1184
kNN,Motor-6,Delta+Martinez,3class,0.6773648648648649,0.7503889932165716,1184
NaiveBayes,Motor-6,Delta+Martinez,3class,0.6494932432432432,0.7293208202909446,1184
SVM,Motor-6,Delta+Martinez,2class,0.6598240469208211,0.6548342059336824,1023
RandomForest,Motor-6,Delta+Martinez,2class,0.667644183773216,0.6672088484059857,1023
LogReg,Motor-6,Delta+Martinez,2class,0.6422287390029325,0.6400823618074996,1023
kNN,Motor-6,Delta+Martinez,2class,0.6236559139784946,0.6228255404725993,1023
NaiveBayes,Motor-6,Delta+Martinez,2class,0.5953079178885631,0.5949824421816068,1023
